name_fielder,position,start_dist_st_R,start_ang_st_R,start_dist_sh_R,start_ang_sh_R,start_dist_st_L,start_ang_st_L,start_dist_sh_L,start_ang_sh_L
noeljhonkensy,1B,119.0,32.0,111.71960784313724,28.4078431372549,122.0,38.0,123.0,38.0
noeljhonkensy,RF,301.0,29.0,305.0,27.0,311.0,26.0,312.0,27.0
nootbaarlars,CF,315.0,2.0,317.0,2.0,315.0,-2.5,317.5,-2.0
nootbaarlars,LF,304.0,-24.5,313.0,-26.0,290.5,-28.5,295.0,-28.0
nootbaarlars,RF,292.5,28.0,291.0,28.0,299.0,26.5,299.5,26.5
norbyconnor,2B,153.0,7.5,153.72596153846155,3.121794871794872,149.0,19.0,148.0,20.0
norbyconnor,3B,122.0,-36.0,125.0,-39.0,122.0,-27.0,135.0,-23.0
nuneznasim,SS,148.0,-19.0,147.0,-20.0,152.0,-7.0,153.0,-5.0
ohearnryan,1B,111.5,30.5,109.0,29.0,121.5,38.0,122.0,38.0
ohearnryan,LF,301.5,-25.0,302.5125,-26.669444444444444,289.0,-30.0,293.0,-28.5
ohearnryan,RF,291.5,28.0,294.0,28.0,296.0,25.5,297.5,26.0
oneilltyler,CF,321.0,0.0,323.3076923076923,0.5865384615384616,321.0,-3.0,327.0,-1.0
oneilltyler,LF,300.5,-27.0,302.0,-26.5,289.5,-28.5,291.0,-28.0
oneilltyler,RF,285.0,28.0,286.0,28.0,292.0,27.0,294.0,27.0
odorrougned,2B,153.0,9.0,153.72596153846155,3.121794871794872,148.0,20.0,148.0,21.0
odorrougned,3B,118.0,-37.0,121.58928571428572,-37.36607142857143,124.0,-30.0,131.24347389558233,-22.40863453815261
odorrougned,RF,296.0,27.0,292.3405172413793,27.46120689655172,301.0,25.0,300.0,25.0
olivaresedward,LF,304.0,-27.0,303.0,-27.0,290.0,-28.0,289.0,-29.0
olivaresedward,RF,290.0,28.5,288.0,29.0,305.0,25.0,301.0,26.0
olsonmatt,1B,114.5,28.0,113.0,27.5,126.5,38.5,127.5,39.0
ornelasjonathan,2B,153.0,10.0,153.72596153846155,3.121794871794872,148.19832402234636,18.90875232774674,147.67110453648917,20.243096646942803
ornelasjonathan,3B,117.5,-37.0,121.58928571428572,-37.36607142857143,106.0,-28.0,128.0,-23.0
ornelasjonathan,SS,151.0,-17.0,147.2686274509804,-20.26078431372549,154.0,-7.0,155.0,-5.0
ortegarafael,CF,327.5,2.0,323.3076923076923,0.5865384615384616,328.0,-1.0,329.5,0.0
